200,168,0
197,187,0
194,203,0
191,219,0
412,181,0
414,199,0
417,212,0
417,224,0
195,112,0
195,113,0
193,117,0
192,129,0
186,145,0
181,162,0
275,165,0
276,141,0
278,128,0
280,111,0
508,161,0
504,142,0
501,124,0
500,102,0
30,279,0
166,145,0
142,211,0
244,211,0
255,143,0
462,143,0
474,209,0
136,191,0
332,283,0
320,334,0
289,329,0
201,263,0
207,318,0
289,332,0
284,274,0
491,298,0
468,355,0
448,319,0
271,377,0
272,378,0
246,328,0
161,356,0
192,403,0
330,470,0
409,448,0
385,395,0
297,418,0
251,109,0
135,153,0
264,151,0
348,136,0
366,188,0
293,201,0
100,176,0
145,224,0
82,231,0
243,267,0
238,298,0
251,297,0
254,265,0
349,155,0
346,191,0
359,189,0
361,155,0
107,423,0
43,400,0
99,363,0
161,380,0
411,438,0
149,215,0
100,251,0
363,316,0
385,266,0
112,265,0
164,224,0
97,209,0
49,242,0
522,354,0
256,366,0
256,423,0
146,432,0
165,368,0
576,377,0
500,393,0
452,340,0
519,331,0
385,127,0
451,117,0
493,154,0
420,172,0
470,171,0
398,187,0
358,144,0
423,129,0
329,167,0
271,191,0
224,153,0
284,135,0
301,251,0
202,246,0
217,191,0
301,196,0
307,230,0
257,199,0
307,175,0
357,204,0
364,185,0
310,211,0
261,183,0
312,162,0
