303,117
336,141
380,180
413,208
497,92
458,65
427,37
396,14
54,336
85,364
125,404
160,424
329,31
368,67
392,92
431,124
148,367
182,383
220,396
263,418
332,304
294,279
244,267
217,242
217,264
271,292
322,247
258,224
605,416
264,347
391,331
372,216
287,361
411,336
381,222
373,380
486,379
478,247
18,160
73,169
114,118
57,110
579,125
578,157
590,159
590,121
402,360
466,390
511,356
458,329
276,227
218,256
269,245
317,256
378,269
327,221
179,211
252,249
282,255
376,231
279,247
294,329
282,265
326,264
348,323
336,235
