294,175
323,192
351,219
374,238
440,138
418,123
394,106
365,82
105,357
130,378
158,395
190,422
313,115
334,140
357,156
388,180
180,362
212,376
233,392
258,410
315,309
290,295
256,282
229,271
228,279
283,301
322,267
269,254
542,403
258,355
351,335
340,237
263,357
356,339
323,241
333,369
416,371
407,262
58,210
112,217
151,174
100,169
507,165
506,197
518,196
517,167
369,351
419,381
465,351
415,325
280,254
227,286
276,268
310,273
359,282
312,254
205,251
261,274
287,276
362,248
285,263
288,325
286,280
318,277
331,324
322,264
515,278
495,326
585,358
423,224
385,315
512,361
540,258
291,273
396,343
448,259
350,195
127,348
233,415
300,323
184,264
371,116
436,95
444,185
381,215
402,401
456,365
462,419
298,178
329,176
359,176
389,173
313,381
335,385
363,390
392,393
344,402
383,410
418,413
445,427
265,289
318,302
278,333
229,312
88,392
143,419
537,374
515,417
116,297
182,259
227,292
159,335
305,201
344,181
391,198
348,228
178,251
220,229
272,249
227,272
449,362
473,323
557,354
541,404
